
Avg Time in [634] Ticks:, Mac TC:,76.0 us
, Encode :,15.0 us
, Mac NTC :,22.0 us
, MAC_TC+Encode EL:,91.0 us

IDLE CPU-L Info >> , CPU#0 : ,91 %
, CPU#1 : ,96  %
, CPU#2 : ,88 %
, CPU#3 : ,95 %


Tick, SFN,  SF ,MAC TC(Diff in us),  Enocde(Diff in us),  MAC_NTC(Diff in us)
2975 ,297,5,75.36,12.5,18.72
2976 ,297,6,86.56,36.88,39.58
2977 ,297,7,76.92,14.91,18.59
2978 ,297,8,73.7,11.81,18.16
2979 ,297,9,75.0,11.75,17.87
2980 ,298,0,75.26,12.37,17.67
2981 ,298,1,73.57,11.85,17.84
2982 ,298,2,74.38,11.92,17.78
2983 ,298,3,74.65,12.08,17.87
2984 ,298,4,74.78,12.01,18.13
2985 ,298,5,83.33,24.48,44.79
2986 ,298,6,75.1,13.96,18.78
2987 ,298,7,75.75,13.12,18.52
2988 ,298,8,77.54,15.24,18.75
2989 ,298,9,75.39,12.5,18.2
2990 ,299,0,74.77,12.34,17.67
2991 ,299,1,76.59,15.92,17.65
2992 ,299,2,72.75,12.4,17.74
2993 ,299,3,74.48,12.53,17.7
2994 ,299,4,76.1,12.37,17.39
2995 ,299,5,75.29,12.11,18.85
2996 ,299,6,84.61,38.34,43.0
2997 ,299,7,76.88,13.12,17.42
2998 ,299,8,75.81,12.21,17.9
2999 ,299,9,74.31,12.99,17.68
3000 ,300,0,73.15,22.59,44.07
3001 ,300,1,74.06,14.19,17.58
3002 ,300,2,73.93,12.82,17.9
3003 ,300,3,74.12,12.76,17.77
3004 ,300,4,73.31,12.7,17.87
3005 ,300,5,82.06,25.29,45.6
3006 ,300,6,76.56,14.1,17.81
3007 ,300,7,75.62,12.76,18.62
3008 ,300,8,75.33,13.45,18.29
3009 ,300,9,74.41,13.18,17.68
3010 ,301,0,75.42,12.66,17.94
3011 ,301,1,73.63,11.98,18.17
3012 ,301,2,74.32,12.63,18.58
3013 ,301,3,74.19,11.65,17.87
3014 ,301,4,73.95,11.85,17.62
3015 ,301,5,74.67,12.66,18.3
3016 ,301,6,86.2,36.91,38.21
3017 ,301,7,76.56,12.82,17.55
3018 ,301,8,75.17,12.04,17.83
3019 ,301,9,74.57,12.21,17.65
3020 ,302,0,74.12,13.15,17.22
3021 ,302,1,74.25,12.63,18.29
3022 ,302,2,74.38,12.95,17.94
3023 ,302,3,74.71,12.7,17.28
3024 ,302,4,73.8,12.15,17.77
3025 ,302,5,83.89,24.48,44.14
3026 ,302,6,74.45,13.93,18.03
3027 ,302,7,76.63,15.07,21.81
3028 ,302,8,73.38,12.56,17.38
3029 ,302,9,74.38,12.37,17.51
3030 ,303,0,74.84,12.53,17.51
3031 ,303,1,74.45,12.63,17.68
3032 ,303,2,74.84,11.85,18.07
3033 ,303,3,74.21,11.91,18.01
3034 ,303,4,73.89,11.82,18.26
3035 ,303,5,73.99,12.37,17.91
3036 ,303,6,84.37,36.72,39.43
3037 ,303,7,77.38,15.2,19.04
3038 ,303,8,74.12,12.01,17.87
3039 ,303,9,74.45,11.65,17.93
3040 ,304,0,84.12,26.27,43.58
3041 ,304,1,75.06,14.0,18.16
3042 ,304,2,72.91,12.96,17.48
3043 ,304,3,74.67,12.6,17.61
3044 ,304,4,76.34,15.01,18.59
3045 ,304,5,83.4,24.06,43.46
3046 ,304,6,74.64,13.28,18.88
3047 ,304,7,77.73,12.83,18.3
3048 ,304,8,74.78,12.7,17.48
3049 ,304,9,73.27,12.63,18.04
3050 ,305,0,74.12,12.37,17.54
3051 ,305,1,74.12,11.88,17.48
3052 ,305,2,73.77,13.34,18.0
3053 ,305,3,80.86,32.84,36.85
3054 ,305,4,75.26,15.47,17.48
3055 ,305,5,75.55,11.98,17.97
3056 ,305,6,84.53,38.9,41.54
3057 ,305,7,76.37,11.98,17.61
3058 ,305,8,74.55,11.94,18.42
3059 ,305,9,81.22,33.1,37.92
3060 ,306,0,75.26,11.98,18.06
3061 ,306,1,73.7,12.04,18.1
3062 ,306,2,74.35,12.8,18.0
3063 ,306,3,73.6,12.93,17.48
3064 ,306,4,73.73,11.92,18.32
3065 ,306,5,83.89,24.38,43.69
3066 ,306,6,76.63,14.58,19.37
3067 ,306,7,74.19,13.15,17.64
3068 ,306,8,74.35,12.82,17.35
3069 ,306,9,73.53,12.66,17.62
3070 ,307,0,77.61,15.66,17.45
3071 ,307,1,74.28,12.54,16.74
3072 ,307,2,73.44,11.65,17.74
3073 ,307,3,72.14,12.5,17.77
3074 ,307,4,74.06,12.18,17.93
3075 ,307,5,74.45,12.89,19.11
3076 ,307,6,85.26,36.92,39.16
3077 ,307,7,92.57,34.37,39.42
3078 ,307,8,73.37,12.5,17.78
3079 ,307,9,74.29,12.2,18.22
3080 ,308,0,72.85,23.08,44.43
3081 ,308,1,73.66,13.28,17.88
3082 ,308,2,74.93,13.21,17.55
3083 ,308,3,74.54,12.96,18.46
3084 ,308,4,75.68,12.63,17.84
3085 ,308,5,90.36,26.07,47.49
3086 ,308,6,75.65,13.05,18.98
3087 ,308,7,74.03,13.48,18.62
3088 ,308,8,74.61,13.22,18.4
3089 ,308,9,80.96,33.23,38.21
3090 ,309,0,73.7,13.09,18.2
3091 ,309,1,74.7,12.44,17.61
3092 ,309,2,73.28,12.99,18.13
3093 ,309,3,73.57,12.3,18.1
3094 ,309,4,75.49,12.3,17.61
3095 ,309,5,75.43,12.21,18.36
3096 ,309,6,84.93,37.05,41.14
3097 ,309,7,75.26,12.27,17.81
3098 ,309,8,73.73,12.73,18.2
3099 ,309,9,73.93,11.58,19.27
3100 ,310,0,75.95,12.53,18.06
3101 ,310,1,73.5,11.88,17.42
3102 ,310,2,74.57,12.01,18.0
3103 ,310,3,73.66,12.63,17.78
3104 ,310,4,76.17,15.33,17.74
3105 ,310,5,83.62,25.36,45.06
3106 ,310,6,76.43,14.22,18.91
3107 ,310,7,76.36,13.38,18.66
3108 ,310,8,74.48,13.05,18.43
3109 ,310,9,75.26,12.28,18.29
3110 ,311,0,73.7,12.53,17.48
3111 ,311,1,74.38,12.14,17.94
3112 ,311,2,74.57,12.07,17.55
3113 ,311,3,73.6,11.79,18.52
3114 ,311,4,74.35,12.11,17.71
3115 ,311,5,75.2,12.89,18.91
3116 ,311,6,85.77,37.53,40.2
3117 ,311,7,81.67,33.5,37.93
3118 ,311,8,74.61,12.04,17.71
3119 ,311,9,75.72,12.21,17.45
3120 ,312,0,72.56,23.7,44.46
3121 ,312,1,73.63,13.87,18.26
3122 ,312,2,74.35,12.99,19.24
3123 ,312,3,72.65,12.63,17.94
3124 ,312,4,74.19,13.21,18.91
3125 ,312,5,89.42,26.23,44.37
3126 ,312,6,74.77,14.23,18.85
3127 ,312,7,74.18,13.21,19.05
3128 ,312,8,74.61,13.22,17.84
3129 ,312,9,82.13,32.88,38.51
3130 ,313,0,75.58,12.54,17.16
3131 ,313,1,75.2,12.66,19.85
3132 ,313,2,73.9,11.92,18.49
3133 ,313,3,73.8,12.76,18.2
3134 ,313,4,74.57,11.76,17.94
3135 ,313,5,75.78,11.78,18.68
3136 ,313,6,85.44,36.72,39.39
3137 ,313,7,76.14,13.12,19.76
3138 ,313,8,75.45,11.81,17.74
3139 ,313,9,74.67,12.76,17.64
3140 ,314,0,73.96,11.95,17.58
3141 ,314,1,75.39,12.11,18.39
3142 ,314,2,75.94,12.66,18.4
3143 ,314,3,72.72,12.41,18.07
3144 ,314,4,73.93,11.91,18.65
3145 ,314,5,82.35,24.64,45.84
3146 ,314,6,74.97,13.64,18.19
3147 ,314,7,75.78,13.93,18.07
3148 ,314,8,76.05,12.3,17.8
3149 ,314,9,75.16,11.85,17.84
3150 ,315,0,75.1,12.54,18.03
3151 ,315,1,74.77,11.94,18.2
3152 ,315,2,75.03,12.24,17.9
3153 ,315,3,80.24,32.55,37.99
3154 ,315,4,73.12,11.78,18.13
3155 ,315,5,76.69,12.34,18.49
3156 ,315,6,85.39,36.66,39.68
3157 ,315,7,85.64,13.31,17.81
3158 ,315,8,73.21,12.76,17.94
3159 ,315,9,74.68,12.79,17.64
3160 ,316,0,73.24,23.01,45.12
3161 ,316,1,75.39,13.35,18.27
3162 ,316,2,73.57,13.64,17.71
3163 ,316,3,73.7,12.83,18.88
3164 ,316,4,72.4,12.56,17.54
3165 ,316,5,81.38,24.55,45.48
3166 ,316,6,75.95,14.19,18.29
3167 ,316,7,75.06,13.18,18.36
3168 ,316,8,75.29,12.76,18.36
3169 ,316,9,75.71,13.76,18.1
3170 ,317,0,74.67,12.4,17.81
3171 ,317,1,75.55,12.05,18.0
3172 ,317,2,73.5,12.24,18.36
3173 ,317,3,74.83,12.01,17.91
3174 ,317,4,76.33,15.04,18.26
3175 ,317,5,76.2,11.98,18.66
3176 ,317,6,85.26,37.1,39.32
3177 ,317,7,75.61,11.69,18.17
3178 ,317,8,74.77,12.18,17.61
3179 ,317,9,74.71,11.68,19.08
3180 ,318,0,77.11,15.0,18.01
3181 ,318,1,76.8,14.71,18.22
3182 ,318,2,73.57,11.81,18.43
3183 ,318,3,73.57,12.56,18.16
3184 ,318,4,74.91,12.04,17.87
3185 ,318,5,85.25,24.48,43.46
3186 ,318,6,76.37,12.56,18.43
3187 ,318,7,75.13,12.43,19.05
3188 ,318,8,74.81,12.6,17.97
3189 ,318,9,74.77,12.08,18.39
3190 ,319,0,73.67,11.85,18.88
3191 ,319,1,75.29,12.41,18.2
3192 ,319,2,73.83,12.56,17.31
3193 ,319,3,74.84,12.47,17.96
3194 ,319,4,73.24,12.43,19.8
3195 ,319,5,76.3,12.47,18.98
3196 ,319,6,85.09,36.55,38.93
3197 ,319,7,82.42,33.2,42.03
3198 ,319,8,74.25,12.11,17.97
3199 ,319,9,76.31,15.08,17.74
3200 ,320,0,81.94,26.6,45.76
3201 ,320,1,75.88,14.09,17.74
3202 ,320,2,75.19,13.38,18.17
3203 ,320,3,75.81,13.9,17.58
3204 ,320,4,74.44,12.4,17.88
3205 ,320,5,81.58,24.9,44.6
3206 ,320,6,76.24,14.22,18.13
3207 ,320,7,76.08,12.47,19.3
3208 ,320,8,75.04,12.21,18.45
3209 ,320,9,75.19,13.16,19.34
3210 ,321,0,76.47,13.31,17.8
3211 ,321,1,75.42,12.11,18.23
3212 ,321,2,75.03,12.01,17.61
3213 ,321,3,76.76,15.17,18.45
3214 ,321,4,73.56,12.37,18.46
3215 ,321,5,75.85,12.24,18.36
3216 ,321,6,85.48,40.43,42.55
3217 ,321,7,73.5,12.92,18.16
3218 ,321,8,74.81,12.56,17.84
3219 ,321,9,74.84,12.18,18.52
3220 ,322,0,73.99,13.25,18.33
3221 ,322,1,73.01,11.88,18.0
3222 ,322,2,75.19,12.07,17.81
3223 ,322,3,75.0,14.78,18.69
3224 ,322,4,73.11,11.63,17.71
3225 ,322,5,84.01,25.13,44.47
3226 ,322,6,76.66,14.52,18.75
3227 ,322,7,74.12,12.8,18.43
3228 ,322,8,73.9,11.82,18.45
3229 ,322,9,74.64,12.37,18.07
3230 ,323,0,73.73,12.11,18.03
3231 ,323,1,74.94,12.21,17.42
3232 ,323,2,74.94,12.14,18.49
3233 ,323,3,73.44,11.65,17.42
3234 ,323,4,76.07,15.26,18.75
3235 ,323,5,75.56,11.91,18.52
3236 ,323,6,84.66,36.59,39.16
3237 ,323,7,76.95,12.86,18.43
3238 ,323,8,75.52,11.65,18.23
3239 ,323,9,81.25,32.36,38.51
3240 ,324,0,73.01,22.69,44.73
3241 ,324,1,73.73,13.31,19.18
3242 ,324,2,74.22,13.08,18.32
3243 ,324,3,74.67,13.22,17.74
3244 ,324,4,73.47,12.63,18.13
3245 ,324,5,82.65,25.58,45.87
3246 ,324,6,75.91,14.1,18.1
3247 ,324,7,76.14,13.51,19.76
3248 ,324,8,75.65,12.21,17.45
3249 ,324,9,74.61,11.85,18.1
3250 ,325,0,74.52,11.69,18.03
3251 ,325,1,74.7,12.47,17.84
3252 ,325,2,73.12,11.85,17.87
3253 ,325,3,74.38,12.59,17.67
3254 ,325,4,75.03,12.34,19.41
3255 ,325,5,76.6,11.78,18.49
3256 ,325,6,84.73,39.38,41.44
3257 ,325,7,74.35,11.98,17.51
3258 ,325,8,73.11,11.6899999999,17.54
3259 ,325,9,73.01,11.59,18.3
3260 ,326,0,77.05,15.36,18.36
3261 ,326,1,74.7,11.98,18.23
3262 ,326,2,74.55,11.95,18.19
3263 ,326,3,73.73,11.59,17.9
3264 ,326,4,74.61,12.37,17.93
3265 ,326,5,84.86,24.15,43.72
3266 ,326,6,75.49,13.71,18.65
3267 ,326,7,74.68,12.93,18.78
3268 ,326,8,74.05,12.31,18.3
3269 ,326,9,73.86,12.66,18.45
3270 ,327,0,73.7,12.14,17.84
3271 ,327,1,75.55,12.44,17.77
3272 ,327,2,73.86,12.34,18.42
3273 ,327,3,73.31,12.36,17.74
3274 ,327,4,75.29,11.95,17.97
3275 ,327,5,75.84,11.92,18.14
3276 ,327,6,85.68,38.02,40.33
3277 ,327,7,75.23,12.41,18.2
3278 ,327,8,73.47,11.79,18.29
3279 ,327,9,74.87,11.94,17.67
3280 ,328,0,72.79,23.24,45.18
3281 ,328,1,74.77,13.22,17.94
3282 ,328,2,75.1,13.7,18.2
3283 ,328,3,74.83,12.47,17.78
3284 ,328,4,74.8,12.63,18.13
3285 ,328,5,81.71,24.09,45.47
3286 ,328,6,75.46,14.35,17.9
3287 ,328,7,74.8,13.58,18.13
3288 ,328,8,75.29,13.34,17.35
3289 ,328,9,75.0,12.89,17.71
3290 ,329,0,75.13,12.79,18.13
3291 ,329,1,75.03,12.6,19.01
3292 ,329,2,73.05,12.4,19.27
3293 ,329,3,75.1,12.47,17.74
3294 ,329,4,73.92,11.72,17.91
3295 ,329,5,75.29,11.85,18.82
3296 ,329,6,85.51,37.14,39.16
3297 ,329,7,75.42,12.21,17.91
3298 ,329,8,73.96,11.75,17.78
3299 ,329,9,77.74,15.53,18.46
3300 ,330,0,74.41,12.08,18.1
3301 ,330,1,74.35,11.81,17.51
3302 ,330,2,73.44,11.85,18.26
3303 ,330,3,73.67,11.95,18.09
3304 ,330,4,75.0,12.24,18.46
3305 ,330,5,84.28,24.77,44.53
3306 ,330,6,75.56,14.16,19.04
3307 ,330,7,73.28,13.54,18.94
3308 ,330,8,73.27,12.92,18.36
3309 ,330,9,75.26,12.44,18.66
3310 ,331,0,74.55,13.02,17.7
3311 ,331,1,74.94,12.17,17.61
3312 ,331,2,75.36,13.15,18.2
3313 ,331,3,75.32,14.78,18.75
3314 ,331,4,74.38,12.86,18.56
3315 ,331,5,77.02,12.24,18.49
3316 ,331,6,85.91,36.88,39.16
3317 ,331,7,82.39,32.75,39.16
3318 ,331,8,74.03,11.92,18.16
3319 ,331,9,73.76,11.66,19.11
